MATR_ALUNO,ANO,MEDIA_FINAL,SITUACAO,COD_ATIV_CURRIC,FREQUENCIA,SIGLA
48,2019,9999,Equivalência de Disciplina,CI1057,100,Equivale
48,2019,9999,Cancelado,CI1065,100,Cancelado
48,2019,9999,Equivalência de Disciplina,CI1212,100,Equivale
48,2019,9999,Equivalência de Disciplina,CMA111,100,Equivale
48,2019,9999,Equivalência de Disciplina,CI1068,100,Equivale
48,2019,9999,Equivalência de Disciplina,CM304,100,Equivale
48,2019,9999,Equivalência de Disciplina,CI1003,100,Equivale
48,2019,50,Aprovado,CE009,"76,6666666666667",Aprovado
48,2019,35,R-nota,CI1237,"86,6666666666667",Reprovado
48,2019,9999,Equivalência de Disciplina,CI1001,100,Equivale
48,2019,9999,Equivalência de Disciplina,CI1002,100,Equivale
48,2019,9999,Equivalência de Disciplina,CI1210,100,Equivale
48,2019,28,R-nota,CI1215,"86,6666666666667",Reprovado
48,2019,9999,Equivalência de Disciplina,CI1064,100,Equivale
48,2019,50,Aprovado,CMA211,80,Aprovado
48,2019,68,Aprovado,CM303,100,Aprovado
48,2019,65,Aprovado,CI1237,90,Aprovado
48,2020,9999,Cancelado,CI1211,100,Cancelado
48,2020,79,Aprovado,CI1162,"76,6666666666667",Aprovado
48,2020,9999,Cancelado,CI1209,100,Cancelado
48,2020,77,Aprovado,CI1215,100,Aprovado
48,2020,9999,Matrícula,CI1171,100,Matricula
48,2020,9999,Matrícula,CI1238,100,Matricula
48,2020,9999,Matrícula,CI1062,100,Matricula
48,2020,9999,Matrícula,CI1058,100,Matricula
48,2020,9999,Matrícula,CI1215,100,Matricula
49,2016,1,R-nota,CI055,"83,3333333333333",Reprovado
49,2016,9999,Equivalência de Disciplina,CM201,100,Equivale
49,2016,29,R-nota,CI068,"96,6666666666667",Reprovado
49,2016,24,R-nota,CM045,100,Reprovado
49,2016,10,R-nota,CM046,100,Reprovado
49,2016,29,R-nota,CI055,"86,6666666666667",Reprovado
49,2016,9999,Cancelado,CM202,100,Cancelado
49,2016,75,Aprovado,CI068,100,Aprovado
49,2016,50,Aprovado,CM045,100,Aprovado
49,2017,61,Aprovado,CI055,100,Aprovado
49,2017,41,R-nota,CM046,"96,6666666666667",Reprovado
49,2017,95,Aprovado,CI166,"93,3333333333333",Aprovado
49,2017,50,Aprovado,CI210,"93,3333333333333",Aprovado
49,2017,9999,Cancelado,CM005,100,Cancelado
49,2017,10,R-nota,CI056,90,Reprovado
49,2017,15,Reprovado por Frequencia,CM202,"66,6666666666667",Repr. Freq
49,2017,20,Reprovado por Frequencia,CI067,"73,3333333333333",Repr. Freq
49,2017,10,R-nota,CI212,"83,3333333333333",Reprovado
49,2018,34,R-nota,CM005,100,Reprovado
49,2018,83,Aprovado,CI056,90,Aprovado
49,2018,5,Reprovado por Frequencia,CM202,70,Repr. Freq
49,2018,67,Aprovado,CM046,80,Aprovado
49,2018,75,Aprovado,CI067,"93,3333333333333",Aprovado
49,2018,52,Aprovado,CI212,90,Aprovado
49,2018,50,Aprovado,CM005,90,Aprovado
49,2018,67,Aprovado,CI057,75,Aprovado
49,2018,8,Reprovado por Frequencia,CI237,55,Repr. Freq
49,2018,62,Aprovado,CI064,100,Aprovado
49,2019,9999,Equivalência de Disciplina,CI1055,100,Equivale
49,2019,9999,Equivalência de Disciplina,CI1056,100,Equivale
49,2019,9999,Equivalência de Disciplina,CI1057,100,Equivale
49,2019,18,R-nota,CI1065,100,Reprovado
49,2019,9999,Equivalência de Disciplina,CI1212,100,Equivale
49,2019,9999,Equivalência de Disciplina,CMA111,100,Equivale
49,2019,9999,Equivalência de Disciplina,CI1068,100,Equivale
49,2019,9999,Equivalência de Disciplina,CM304,100,Equivale
49,2019,9999,Equivalência de Disciplina,CI1003,100,Equivale
49,2019,50,Aprovado,CE009,"83,3333333333333",Aprovado
49,2019,9999,Equivalência de Disciplina,CM303,100,Equivale
49,2019,5,Reprovado por Frequencia,CI1059,70,Repr. Freq
49,2019,45,R-nota,CI1237,90,Reprovado
49,2019,9999,Equivalência de Disciplina,CI1001,100,Equivale
49,2019,9999,Equivalência de Disciplina,CI1002,100,Equivale
49,2019,9999,Equivalência de Disciplina,CI1210,100,Equivale
49,2019,26,R-nota,CI1215,90,Reprovado
49,2019,9999,Equivalência de Disciplina,CI1064,100,Equivale
49,2019,50,Aprovado,CMA211,80,Aprovado
49,2019,70,Aprovado,CI1237,"93,3333333333333",Aprovado
49,2019,16,R-nota,CI1062,"76,6666666666667",Reprovado
49,2020,9999,Cancelado,CI1211,100,Cancelado
49,2020,89,Aprovado,CI1162,100,Aprovado
49,2020,76,Aprovado,CI1209,100,Aprovado
49,2020,70,Aprovado,CI1215,100,Aprovado
49,2020,9999,Matrícula,CI1171,100,Matricula
49,2020,9999,Matrícula,CI1062,100,Matricula
49,2020,9999,Matrícula,CI1058,100,Matricula
49,2020,9999,Matrícula,CI1215,100,Matricula
50,2016,51,Aprovado,CI055,100,Aprovado
50,2016,50,Aprovado,CM201,100,Aprovado
50,2016,72,Aprovado,CI068,100,Aprovado
50,2016,50,Aprovado,CM045,90,Aprovado
50,2016,37,R-nota,CM046,100,Reprovado
50,2016,3,R-nota,CM005,90,Reprovado
50,2016,45,R-nota,CI056,90,Reprovado
50,2016,8,R-nota,CM202,100,Reprovado
50,2016,16,R-nota,CI067,"83,3333333333333",Reprovado
50,2016,9,Reprovado por Frequencia,CI210,"73,3333333333333",Repr. Freq
50,2017,74,Aprovado,CI056,"93,3333333333333",Aprovado
50,2017,50,Aprovado,CM202,100,Aprovado
50,2017,54,Aprovado,CM046,"93,3333333333333",Aprovado
50,2017,0,R-nota,CI166,80,Reprovado
50,2017,57,Aprovado,CI210,90,Aprovado
50,2017,47,R-nota,CI064,"93,3333333333333",Reprovado
50,2017,37,R-nota,CM005,100,Reprovado
50,2017,55,Aprovado,CI057,"93,3333333333333",Aprovado
50,2017,55,Aprovado,CI237,80,Aprovado
50,2017,32,R-nota,CI067,80,Reprovado
50,2017,40,R-nota,CI212,90,Reprovado
50,2017,61,Aprovado,CI064,100,Aprovado
50,2018,87,Aprovado,CM005,100,Aprovado
50,2018,50,Aprovado,CI166,"96,6666666666667",Aprovado
50,2018,70,Aprovado,CI067,100,Aprovado
50,2018,60,Aprovado,CI212,"93,3333333333333",Aprovado
50,2018,50,Aprovado,CE003,"83,3333333333333",Aprovado
50,2018,27,R-nota,CI164,"93,3333333333333",Reprovado
50,2018,0,Reprovado por Frequencia,CI058,0,Repr. Freq
50,2018,32,R-nota,CI215,100,Reprovado
50,2018,58,Aprovado,CI062,75,Aprovado
50,2019,35,R-nota,CI065,"81,6666666666667",Reprovado
50,2019,72,Aprovado,CI162,"91,6666666666667",Aprovado
50,2019,83,Aprovado,SA214,"78,3333333333333",Aprovado
50,2019,26,R-nota,CI058,"93,3333333333333",Reprovado
50,2019,74,Aprovado,CI215,"76,6666666666667",Aprovado
50,2019,54,Aprovado,CI209,100,Aprovado
50,2019,5,Reprovado por Frequencia,CI350,"66,6666666666667",Repr. Freq
50,2019,19,R-nota,CI059,"76,6666666666667",Reprovado
50,2019,75,Aprovado,CI394,90,Aprovado
50,2019,68,Aprovado,CI163,"76,6666666666667",Aprovado
50,2019,41,R-nota,CI218,100,Reprovado
50,2020,12,R-nota,CI1211,100,Reprovado
50,2020,9999,Matrícula,CI1059,100,Matricula
50,2020,9999,Matrícula,CI1065,100,Matricula
50,2020,9999,Matrícula,CI1238,100,Matricula
50,2020,9999,Matrícula,CI1316,100,Matricula
50,2020,9999,Matrícula,CI1010,100,Matricula
50,2020,9999,Matrícula,CI1058,100,Matricula
50,2020,9999,Matrícula,CI1026,100,Matricula
51,2016,70,Aprovado,CI055,90,Aprovado
51,2016,50,Aprovado,CM201,100,Aprovado
51,2016,50,Aprovado,CI068,100,Aprovado
51,2016,56,Aprovado,CM045,"93,3333333333333",Aprovado
51,2016,12,R-nota,CM046,90,Reprovado
51,2016,9999,Cancelado,CM005,100,Cancelado
51,2016,73,Aprovado,CI056,80,Aprovado
51,2016,9999,Cancelado,CM202,100,Cancelado
51,2016,20,R-nota,CI067,100,Reprovado
51,2016,9999,Cancelado,CI210,100,Cancelado
51,2017,63,Aprovado,CI057,100,Aprovado
51,2017,72,Aprovado,CM046,"96,6666666666667",Aprovado
51,2017,90,Aprovado,CI166,"76,6666666666667",Aprovado
51,2017,90,Aprovado,CI210,"93,3333333333333",Aprovado
51,2017,66,Aprovado,CI064,100,Aprovado
51,2017,25,R-nota,CM005,"93,3333333333333",Reprovado
51,2017,50,Aprovado,CM202,90,Aprovado
51,2017,45,R-nota,CI237,90,Reprovado
51,2017,83,Aprovado,CI067,80,Aprovado
51,2017,44,R-nota,CI212,90,Reprovado
51,2018,72,Aprovado,CM005,100,Aprovado
51,2018,50,Aprovado,CI237,"76,6666666666667",Aprovado
51,2018,44,R-nota,CI212,85,Reprovado
51,2018,51,Aprovado,CE003,"76,6666666666667",Aprovado
51,2018,11,R-nota,CI164,90,Reprovado
51,2018,79,Aprovado,CI212,"98,3333333333333",Aprovado
51,2018,14,R-nota,CI058,"83,3333333333333",Reprovado
51,2019,88,Aprovado,CI162,90,Aprovado
51,2019,20,Reprovado por Frequencia,CI059,70,Repr. Freq
51,2019,57,Aprovado,CI058,"96,6666666666667",Aprovado
51,2019,10,Reprovado por Frequencia,CI215,"73,3333333333333",Repr. Freq
51,2019,85,Aprovado,CI062,80,Aprovado
51,2019,100,Aprovado,CI1204,90,Aprovado
51,2019,25,R-nota,CI164,"86,6666666666667",Reprovado
51,2019,59,Aprovado,CI059,"86,6666666666667",Aprovado
51,2019,51,Aprovado,CI215,"83,3333333333333",Aprovado
51,2019,100,Aprovado,CI220,"96,6666666666667",Aprovado
51,2020,73,Aprovado,CI1211,100,Aprovado
51,2020,50,Aprovado,CI1209,100,Aprovado
51,2020,9999,Equivalência de Disciplina,CI204,100,Equivale
51,2020,9999,Matrícula,CI1065,100,Matricula
51,2020,9999,Matrícula,CI1211,100,Matricula
51,2020,9999,Matrícula,CI1221,100,Matricula
51,2020,9999,Matrícula,SA214,100,Matricula
51,2020,9999,Matrícula,CI1010,100,Matricula
52,2016,77,Aprovado,CI055,"96,6666666666667",Aprovado
52,2016,80,Aprovado,CM201,100,Aprovado
52,2016,61,Aprovado,CI068,"96,6666666666667",Aprovado
52,2016,90,Aprovado,CM045,90,Aprovado
52,2016,63,Aprovado,CM046,100,Aprovado
52,2016,71,Aprovado,CM005,"96,6666666666667",Aprovado
52,2016,69,Aprovado,CI056,100,Aprovado
52,2016,50,Aprovado,CM202,100,Aprovado
52,2016,52,Aprovado,CI067,"96,6666666666667",Aprovado
52,2016,72,Aprovado,CI210,"96,6666666666667",Aprovado
52,2016,9999,Cancelado,CI097,100,Cancelado
52,2017,71,Aprovado,CI057,"96,6666666666667",Aprovado
52,2017,80,Aprovado,CI237,90,Aprovado
52,2017,70,Aprovado,CI166,80,Aprovado
52,2017,81,Aprovado,CI212,90,Aprovado
52,2017,74,Aprovado,CI064,"93,3333333333333",Aprovado
52,2017,73,Aprovado,CI164,100,Aprovado
52,2017,54,Aprovado,CI058,100,Aprovado
52,2017,73,Aprovado,CI215,"76,6666666666667",Aprovado
52,2017,84,Aprovado,CI062,80,Aprovado
52,2018,80,Aprovado,CE003,"86,6666666666667",Aprovado
52,2018,93,Aprovado,CI302,100,Aprovado
52,2018,79,Aprovado,CI320,100,Aprovado
52,2018,70,Aprovado,CI396,75,Aprovado
52,2018,72,Aprovado,CI162,100,Aprovado
52,2018,73,Aprovado,CI218,90,Aprovado
52,2018,78,Aprovado,CI220,"86,6666666666667",Aprovado
52,2019,9999,Equivalência de Disciplina,CI1205,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1055,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1056,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1057,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1212,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1218,100,Equivale
52,2019,9999,Equivalência de Disciplina,CMA111,100,Equivale
52,2019,9999,Equivalência de Disciplina,CMA211,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1068,100,Equivale
52,2019,9999,Equivalência de Disciplina,CM304,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1352,100,Equivale
52,2019,67,Aprovado,CI1163,"83,3333333333333",Aprovado
52,2019,9999,Equivalência de Disciplina,CI1162,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1003,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1164,100,Equivale
52,2019,9999,Equivalência de Disciplina,CE009,100,Equivale
52,2019,9999,Equivalência de Disciplina,CM303,100,Equivale
52,2019,70,Aprovado,CI1059,"83,3333333333333",Aprovado
52,2019,9999,Equivalência de Disciplina,CI1237,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1062,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1021,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1001,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1002,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1210,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1058,100,Equivale
52,2019,70,Aprovado,CI1061,"93,3333333333333",Aprovado
52,2019,95,Aprovado,CI1020,"93,3333333333333",Aprovado
52,2019,9999,Equivalência de Disciplina,CI1215,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1064,100,Equivale
52,2019,9999,Equivalência de Disciplina,CI1220,100,Equivale
52,2019,9999,Trancamento Total,TRT001,0,Tr. Total
52,2020,9999,Trancamento Total,TRT001,0,Tr. Total
53,2016,70,Aprovado,CI055,100,Aprovado
53,2016,50,Aprovado,CM201,100,Aprovado
53,2016,70,Aprovado,CI068,"98,3333333333333",Aprovado
53,2016,52,Aprovado,CM045,100,Aprovado
53,2016,30,R-nota,CM046,"96,6666666666667",Reprovado
53,2016,9999,Cancelado,CM005,100,Cancelado
53,2016,86,Aprovado,CI056,100,Aprovado
53,2016,9999,Cancelado,CM202,100,Cancelado
53,2016,36,R-nota,CI067,"96,6666666666667",Reprovado
53,2016,9999,Cancelado,CI210,100,Cancelado
53,2017,78,Aprovado,CI057,"96,6666666666667",Aprovado
53,2017,33,R-nota,CM202,100,Reprovado
53,2017,83,Aprovado,CM046,100,Aprovado
53,2017,100,Aprovado,CI166,"83,3333333333333",Aprovado
53,2017,80,Aprovado,CI210,100,Aprovado
53,2017,73,Aprovado,CI064,100,Aprovado
53,2017,72,Aprovado,CM005,100,Aprovado
53,2017,73,Aprovado,CM202,"93,3333333333333",Aprovado
53,2017,80,Aprovado,CI237,100,Aprovado
53,2017,100,Aprovado,CI067,100,Aprovado
53,2017,87,Aprovado,CI212,"93,3333333333333",Aprovado
53,2018,82,Aprovado,CI065,"96,6666666666667",Aprovado
53,2018,93,Aprovado,CI162,100,Aprovado
53,2018,100,Aprovado,CE003,100,Aprovado
53,2018,86,Aprovado,CI058,"93,3333333333333",Aprovado
53,2018,92,Aprovado,CI062,"96,6666666666667",Aprovado
53,2018,96,Aprovado,CI364,100,Aprovado
53,2018,75,Aprovado,CI165,100,Aprovado
53,2018,84,Aprovado,CI209,"93,3333333333333",Aprovado
53,2018,87,Aprovado,CI163,90,Aprovado
53,2018,89,Aprovado,CI061,"93,3333333333333",Aprovado
53,2018,74,Aprovado,CI218,100,Aprovado
53,2018,83,Aprovado,CI220,90,Aprovado
53,2018,9999,Cancelado,CI320,100,Cancelado
53,2019,100,Aprovado,CI169,"96,6666666666667",Aprovado
53,2019,89,Aprovado,CI221,"96,6666666666667",Aprovado
53,2019,94,Aprovado,SA214,"93,3333333333333",Aprovado
53,2019,95,Aprovado,CI394,"96,6666666666667",Aprovado
53,2019,92,Aprovado,CI215,100,Aprovado
53,2019,88,Aprovado,CI164,"96,6666666666667",Aprovado
53,2019,93,Aprovado,CI059,100,Aprovado
53,2019,96,Aprovado,CI302,90,Aprovado
53,2019,100,Aprovado,CI080,100,Aprovado
